"ES.ID","yi","vi","direction","SE","parental","Study.ID","Cross.ID","File","Source","Study.name","Genus","spL.name","spS.name","species.pair","Female.pref","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Bottleneck.spLF","Bottleneck.spLM","Bottleneck.spSF","Bottleneck.spSM","pheno.div.diff","pheno.div.ratio","reciprocal","distribution","source_distribution","taxa","souce_sex.determinaton","sex.determination","hetero.sex","divergence.cytb","divergence.COI","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","sq.divergence.COI"
"ES001",0.00198364619358796,0.0309412339212268,"+",0.186091888273012,"Mother","s001","Gryllus_rubens_Gryllus_texensis","Blankers-2015-JEB","table1","Blankers.et.al_2015","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis",NA,"sound","Carrier frequency",4.73,0.27,NA,4.82,0.27,NA,5.01,0.17,NA,5.18,0.22,NA,NA,NA,12,12,12,12,NA,NA,73,22,28,44,NA,NA,NA,NA,NA,NA,NA,NA,-0.61499581785394,-0.542294612753892,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",-2.39794000867204,-2.04575749056068,76.5,69.1,52.4,43.8,0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0.887736558842436
"ES002",0.15559869961106,0.0310865941828253,"+",0.186091888273012,"Mother","s001","Gryllus_rubens_Gryllus_texensis","Blankers-2015-JEB","table1","Blankers.et.al_2015","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis",NA,"sound","Pulse rate",45.34,3.86,NA,55.27,3.96,NA,61.96,2.79,NA,66.88,5.4,NA,NA,NA,12,12,12,12,NA,NA,73,22,28,44,NA,NA,NA,NA,NA,NA,NA,NA,-0.61180222822999,-0.0753542577756333,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",-2.39794000867204,-2.04575749056068,76.5,69.1,52.4,43.8,0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0.887736558842436
"ES003",0.0801207654478554,0.0318898037882278,"+",0.213758305026977,"Mother","s001","Gryllus_rubens_Gryllus_texensis","Blankers-2015-JEB","table1","Blankers.et.al_2015","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis",NA,"sound","Pulse duty cycle",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.615062445612808,-0.648733478412851,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0.887736558842436
"ES004",0.217642230599445,0.0428465220231791,"+",0.186091888273012,"Mother","s001","Gryllus_rubens_Gryllus_texensis","Blankers-2015-JEB","table1","Blankers.et.al_2015","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis",NA,"sound","Trill rate",0.28,0.15,NA,0.59,0.25,NA,0.68,0.35,NA,1.28,0.39,NA,NA,NA,12,12,12,12,NA,NA,73,22,28,44,NA,NA,NA,NA,NA,NA,NA,NA,-0.614912533155354,1.69801513774892,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",-2.39794000867204,-2.04575749056068,76.5,69.1,52.4,43.8,0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0.887736558842436
"ES005",-0.084727612255363,0.032175393393022,"+",0.213758305026977,"Mother","s001","Gryllus_rubens_Gryllus_texensis","Blankers-2015-JEB","table1","Blankers.et.al_2015","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis",NA,"sound","Trill duty cycle",0.62,0.11,NA,0.73,0.14,NA,0.71,0.1,NA,0.78,0.1,NA,NA,NA,12,12,12,12,NA,NA,44,28,22,73,NA,NA,NA,NA,NA,NA,NA,NA,-0.615039731604103,-0.324848425625511,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",-2.39794000867204,-2.04575749056068,43.8,52.4,69.1,76.5,-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,0.887736558842436
"ES006",0.282172359617717,0.146462860569929,"+",0.439910962495049,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EI",14.96,3.09586821424944,NA,12.5,1.89736659610103,NA,11.6,2.32163735324878,NA,9.18888888888889,1.58636162645109,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,12,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.614190059426613,0.0793483958567485,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES007",-0.127592194817049,0.0848003397652882,"+",0.306588049981286,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EI",10.788,2.47035544001263,NA,11.74,2.94998305079877,NA,12.7666666666667,1.74610678049451,NA,14.96,3.09586821424944,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10,3,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.614432207584601,-0.172189404624652,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES009",0.136684808773563,0.196564238076061,"+",0.315741941699828,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SI",11.4291666666667,11.0768872658342,NA,6.93055555555555,5.62480589514204,NA,10.425,10.2530483272049,NA,15.1375,11.2491874706576,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,3,8,NA,NA,NA,NA,NA,NA,NA,NA,-0.614502419109288,-0.244212878602938,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES010",1.3465164175938,0.216288434009202,"+",0.439910962495049,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","ES",31.6666666666667,26.6666666666667,NA,60.7142857142857,12.9362644830535,NA,43.6666666666667,18.5711843695788,NA,59.4444444444444,25.434495871688,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,15,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.610857661971687,0.302592377483481,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES011",0.845276326395475,0.406017236072638,"+",0.503057431626958,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","ES",31.6666666666667,26.6666666666667,NA,31.6666666666667,9.42809041582063,NA,52.2727272727273,18.1363066756909,NA,44.1666666666667,25.3174292182722,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.613171125821289,-0.163158550406644,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
