"Study.ID","Study.name","Source","Cross.ID","Genus","spL.name","spS.name","species.pair","homologous","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Pheno.divergence","Reciprocal","Distribution","Source_distribution","taxa","souce_sex.determinaton","sex.determination","Hetero.sex","Genet.divergence","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","ES.ID","lnCVR.es","lnCVR.sv","lnVR.es","lnVR.sv","cross"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Carrier frequency",4.73,0.27,NA,4.82,0.27,NA,5.01,0.17,NA,5.18,0.22,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.544841227930272,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES001",0.289007157687676,0.035621055964492,0.216976029478793,0.035437430786268,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Carrier frequency",4.73,0.27,NA,4.82,0.27,NA,5.01,0.17,NA,5.18,0.22,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.544841227930272,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES001",-0.217569356585707,0.0302285417755424,-0.250938497760325,0.0301464254952627,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Carrier frequency",4.73,0.27,NA,4.82,0.27,NA,5.01,0.17,NA,5.18,0.22,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.544841227930272,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES001",0.290990803881264,0.018657982339704,0.200110950113713,0.0185723514211886,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse rate",45.34,3.86,NA,55.27,3.96,NA,61.96,2.79,NA,66.88,5.4,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.0861022415831027,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES002",-0.107303608539786,0.0358189344247355,-0.29797331147106,0.035437430786268,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse rate",45.34,3.86,NA,55.27,3.96,NA,61.96,2.79,NA,66.88,5.4,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.0861022415831027,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES002",-0.577055792967402,0.030367004202587,-0.65346674619518,0.0301464254952627,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse rate",45.34,3.86,NA,55.27,3.96,NA,61.96,2.79,NA,66.88,5.4,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,-0.0861022415831027,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES002",0.0482950910712745,0.0188198014523683,-0.340415232625789,0.0185723514211886,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse duty cycle",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.649410594916355,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES003",0.189255251311527,0.0267217385615335,0.299256146525855,0.025462962962963,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse duty cycle",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.649410594916355,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES003",0.237105871021328,0.0323954870282876,0.30454715181686,0.0307539682539683,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Pulse duty cycle",0.44,0.08,NA,0.48,0.08,NA,0.46,0.08,NA,0.43,0.06,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.649410594916355,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES003",0.269376016759382,0.0195903783285972,0.292365534984081,0.0185723514211886,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill rate",0.28,0.15,NA,0.59,0.25,NA,0.68,0.35,NA,1.28,0.39,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,1.65611958664142,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES004",0.341988615585232,0.0457084918666551,-0.432504204428666,0.035437430786268,"spL"
